"","water","fat","temperature","heat_capacity","thermal_conductivity","density"
"1",72,0.44,2,3.527,0.477,1049.5
"2",72,0.44,8,3.476,0.477,1048.5
"3",72,0.44,15,3.499,0.488,1045.1
"4",72,0.44,20,3.518,0.495,1044.4
"5",72,0.44,30,3.572,0.508,1040
"6",72,0.44,41,3.622,0.524,1036.1
"7",72,0.44,50,3.684,0.529,1032
"8",72,0.44,60,3.709,0.539,1028.7
"9",72,0.44,71,3.69,0.55,1024.9
"10",72,4.81,2,3.472,0.475,1048.4
"11",72,4.81,8,3.422,0.475,1045.3
"12",72,4.81,15,3.448,0.486,1042.8
"13",72,4.81,20,3.53,0.496,1040.1
"14",72,4.81,30,3.555,0.505,1036.7
"15",72,4.81,41,3.537,0.518,1032.9
"16",72,4.81,50,3.623,0.531,1031.1
"17",72,4.81,60,3.652,0.541,1028.7
"18",72,4.81,71,3.694,0.554,1023.9
"19",72,7.71,2,3.369,0.462,1046.3
"20",72,7.71,8,3.391,0.471,1044.2
"21",72,7.71,15,3.434,0.485,1041.9
"22",72,7.71,20,3.464,0.493,1039.1
"23",72,7.71,30,3.457,0.511,1035.7
"24",72,7.71,41,3.495,0.523,1033.1
"25",72,7.71,50,3.544,0.524,1031.1
"26",72,7.71,60,3.59,0.541,1026.7
"27",72,7.71,71,3.658,0.548,1022.9
"28",84,0.44,2,3.84,0.514,1044.4
"29",84,0.44,8,3.886,0.532,1041.3
"30",84,0.44,15,3.891,0.545,1038.8
"31",84,0.44,20,3.842,0.546,1036.1
"32",84,0.44,30,3.923,0.572,1032.8
"33",84,0.44,41,3.869,0.577,1029
"34",84,0.44,50,3.889,0.588,1027.1
"35",84,0.44,60,3.932,0.6,1024.8
"36",84,0.44,71,3.968,0.609,1020.1
"37",84,4.81,2,3.75,0.507,1041.1
"38",84,4.81,8,3.821,0.529,1038
"39",84,4.81,15,3.762,0.533,1035.7
"40",84,4.81,20,3.775,0.543,1034
"41",84,4.81,30,3.816,0.563,1031.8
"42",84,4.81,41,3.809,0.574,1029.1
"43",84,4.81,50,3.829,0.585,1025
"44",84,4.81,60,3.87,0.597,1022.7
"45",84,4.81,71,3.906,0.606,1018
"46",84,7.71,2,3.776,0.511,1040.2
"47",84,7.71,8,3.78,0.523,1039.2
"48",84,7.71,15,3.736,0.53,1035.8
"49",84,7.71,20,3.805,0.548,1034.1
"50",84,7.71,30,3.82,0.564,1029.8
"51",84,7.71,41,3.836,0.579,1026
"52",84,7.71,50,3.825,0.585,1022.9
"53",84,7.71,60,3.863,0.596,1020.7
"54",84,7.71,71,3.852,0.598,1018
"55",92,0.44,2,4.098,0.544,1039.2
"56",92,0.44,8,4.042,0.552,1038.2
"57",92,0.44,15,4.114,0.578,1034.8
"58",92,0.44,20,4.123,0.59,1033.1
"59",92,0.44,30,4.124,0.608,1030.8
"60",92,0.44,41,4.073,0.616,1026.1
"61",92,0.44,50,4.069,0.637,1023
"62",92,0.44,60,4.082,0.641,1020.7
"63",92,0.44,71,4.117,0.641,1016
"64",92,4.81,2,3.962,0.532,1037
"65",92,4.81,8,3.971,0.548,1036.1
"66",92,4.81,15,4.002,0.568,1032.7
"67",92,4.81,20,3.978,0.575,1032
"68",92,4.81,30,3.991,0.595,1027.7
"69",92,4.81,41,4.025,0.616,1025
"70",92,4.81,50,4.05,0.629,1020.9
"71",92,4.81,60,4.095,0.644,1018.6
"72",92,4.81,71,4.097,0.648,1013.9
"73",92,7.71,2,3.923,0.531,1036.1
"74",92,7.71,8,3.932,0.547,1035.1
"75",92,7.71,15,3.962,0.559,1031.7
"76",92,7.71,20,3.982,0.571,1031.1
"77",92,7.71,30,4.027,0.593,1026.7
"78",92,7.71,41,4.029,0.606,1022.9
"79",92,7.71,50,3.978,0.617,1018.9
"80",92,7.71,60,4.051,0.63,1015.5
"81",92,7.71,71,3.984,0.638,1011.8
